omega,forcing_amp,output_i,forcing_j,forcing_k,H_mean,H_mean_ci_low,H_mean_ci_high,H_cos2,H_cos2_ci_low,H_cos2_ci_high,H_sin2,H_sin2_ci_low,H_sin2_ci_high,H_abs_2omega,H_abs_2omega_ci_low,H_abs_2omega_ci_high,H_phase_2omega,independent_symmetric_entry,nonzero_by_ci
6.62679700366597,0.001,x,x,x,-63471.61076456062,-505512.71548139973,384788.5189057546,61614.57070901507,-44207.39240479403,162952.43562811898,-1528.9167451760586,-106538.29253642663,108004.09031574,541395.4467659185,476257.03190723073,608413.3726760966,0.02480911634877242,True,False
6.62679700366597,0.001,x,x,y,-29639.621086043764,-106096.32014280836,46711.54189655394,-6691.149638445037,-29082.328890818368,16005.357499360443,-11799.552164956167,-32066.072254931823,8399.915935258921,113954.39352250088,100950.15205701413,127702.40460682576,2.086649143051294,True,False
6.62679700366597,0.001,x,x,z,4588.431513613465,-86157.58093262289,97306.59637629855,-10284.331088569874,-32442.220066062913,11808.502844202534,5517.433570810284,-18711.414619593525,29838.161672659848,117580.50679349923,102386.41786036965,133882.5500509939,-2.6491814816008294,True,False
6.62679700366597,0.001,x,y,x,-29639.621086043764,-107188.27054714378,47762.8529951585,-6691.149638445037,-28841.746135952795,15702.942219852763,-11799.552164956167,-33043.71871533886,10997.065471770635,113954.39352250088,101293.51951236684,127043.18171947257,2.086649143051294,False,False
6.62679700366597,0.001,x,y,y,37268.69777289203,-436667.5567030627,535906.5463836084,65781.73038935347,-54054.903802267516,183337.67586244998,32826.82915414286,-66823.91564554053,133059.46175142963,575913.6748205537,510964.6582987516,638273.3942753754,-0.46286853588639815,True,False
6.62679700366597,0.001,x,y,z,-17928.599370945274,-125939.30524290995,91317.9062685076,-3890.0706214610755,-26587.762854924364,17805.41785664278,11432.213078925139,-10315.420124233846,34220.88036783252,120979.68947353517,107560.15148513691,134589.6953399933,-1.8987793035394627,True,False
6.62679700366597,0.001,x,z,x,4588.431513613465,-83729.6619176607,96946.9921377418,-10284.331088569874,-31452.024851207236,11195.772091789771,5517.433570810284,-18785.943992099183,29395.4459207933,117580.50679349923,101826.53141258315,133809.7830864982,-2.6491814816008294,False,False
6.62679700366597,0.001,x,z,y,-17928.599370945274,-129299.72541314928,91718.98435701213,-3890.0706214610755,-26492.175040137576,19128.26933785967,11432.213078925139,-11264.99073679806,33150.62299011739,120979.68947353517,108819.28655603841,133703.91456691382,-1.8987793035394627,False,False
6.62679700366597,0.001,x,z,z,221952.8276803703,-213173.88140751817,645595.1524434434,77157.49425934539,-20583.56472623823,174108.19003829546,-13563.303515958489,-106757.41640999792,84600.8918044405,501463.9855206151,438424.3125697253,564799.2357439827,0.17400941836653877,True,False
6.62679700366597,0.001,y,x,x,-62482.1999666507,-499931.47417342366,408823.7826466857,61560.088705593924,-104888.55467509358,237668.88344612118,-83390.42723006874,-244041.78877810968,81173.30727854698,893932.2822272282,790230.906356426,1007842.5106481763,0.934880191184851,True,False
6.62679700366597,0.001,y,x,y,-28810.270004814935,-105187.40352448674,46481.48634000232,-20676.393559282846,-58077.09758025573,15507.318481872151,-3093.9248505384276,-37993.61523612416,29415.583812871904,187753.6585935586,167111.12453357465,209231.52440458932,2.9930590925060523,True,False
6.62679700366597,0.001,y,x,z,3513.7184051419645,-96411.56703385702,91515.16429718303,-5114.452655227706,-47418.29156839596,35721.533893807406,19357.036899963176,-14804.611879099008,57115.202349594474,195293.6351937979,170997.91479529304,220471.60495047818,-1.8291100250319337,True,False
6.62679700366597,0.001,y,y,x,-28810.270004814935,-102096.93895315303,45619.05821857248,-20676.393559282846,-59100.667001852315,16474.64424140361,-3093.9248505384276,-36846.22808571844,29342.398194861384,187753.6585935586,165649.9543726961,209182.77738046536,2.9930590925060523,False,False
6.62679700366597,0.001,y,y,y,35501.24069263578,-452558.41214377835,501111.4566892961,105765.1040583187,-77143.28181604421,280834.4815752151,-54014.77533064219,-230101.7585819567,130159.06063163556,952296.9481676638,853367.9168580892,1056184.2071493042,0.47217494657851117,True,False
6.62679700366597,0.001,y,y,z,-18600.06998690354,-121614.49164133417,87509.42159080462,9923.057165231974,-31557.125878031635,51762.52873451738,16719.465188259717,-18269.75801930969,50673.44784957453,200517.0250996317,178518.35570573807,221323.70162257284,-1.0351675327377463,True,False
6.62679700366597,0.001,y,z,x,3513.7184051419645,-91123.16814041369,97254.72565178314,-5114.452655227706,-45569.50512245286,34901.23008325534,19357.036899963176,-16590.490510654046,55864.538655614415,195293.6351937979,169426.32376275377,222588.1439745086,-1.8291100250319337,False,False
6.62679700366597,0.001,y,z,y,-18600.06998690354,-135762.06537198834,89960.08099695708,9923.057165231974,-31176.133016757725,49226.25619058819,16719.465188259717,-21416.341463033914,50110.227665006234,200517.0250996317,179672.79956538999,220760.066635769,-1.0351675327377463,False,False
6.62679700366597,0.001,y,z,z,220817.27382303416,-197596.17915498954,660738.740976775,56916.33276958612,-93723.80581158875,219093.06981741328,-115612.70039624479,-281819.4649944703,62211.09382831669,827806.1078586602,726084.2728284602,932354.8725316414,1.1133262755940287,True,False
6.62679700366597,0.001,z,x,x,29682.58222292358,-16705.126009143976,73500.4836141088,-21352.662079389753,-129513.49093480392,82467.33988555234,16324.175485748954,-100535.3284342413,134296.08190499467,567214.4643430323,493800.0569502267,644533.2445259067,-2.488874017192235,True,False
6.62679700366597,0.001,z,x,y,-5143.750747771894,-16429.89930010526,6606.113215157556,-7726.408260118822,-32609.378097151777,17557.744781662666,-511.18114637538383,-26725.812560581464,25000.469835656804,124946.55223602771,108115.55574389889,141946.93733899886,3.075528676896478,True,False
6.62679700366597,0.001,z,x,z,-5351.201353298791,-13798.546175657193,3563.534166985215,-6828.222335670267,-34320.04774375667,21936.45978542138,-25167.234961802125,-50857.640263869405,-1060.9621068504193,139533.5493149883,124136.11395290848,154888.6062778981,1.8357324423645556,True,True
6.62679700366597,0.001,z,y,x,-5143.750747771894,-16491.08360701723,5975.230920212796,-7726.408260118822,-32627.422922299185,15325.877770015462,-511.18114637538383,-26483.041601122415,27626.78594894322,124946.55223602771,107540.42389425352,141739.5405365496,3.075528676896478,False,False
6.62679700366597,0.001,z,y,y,-4053.2408005182533,-54641.64118396705,43513.13920503796,-45173.49311079733,-161482.79926684962,77402.19263296574,107860.69799922958,-6439.913616894857,223731.21030914946,613344.1964284054,538249.2826943204,694459.3041793145,-1.967415121695317,True,False
6.62679700366597,0.001,z,y,z,-4001.0418761896053,-15299.900609681796,7478.402369590758,-13520.653126819223,-40008.00440330281,12468.769798783533,3493.324059744018,-20024.581677573413,29412.93404119989,135200.69225926197,120813.55543969022,148827.71924180357,-2.888752480704592,True,False
6.62679700366597,0.001,z,z,x,-5351.201353298791,-13617.434089444725,2943.7216184518525,-6828.222335670267,-32675.942006565434,20104.42975439605,-25167.234961802125,-51323.663071280076,2184.0882032204067,139533.5493149883,123586.33316180205,155650.75602795664,1.8357324423645556,False,False
6.62679700366597,0.001,z,z,y,-4001.0418761896053,-15787.059257700335,7063.752691593286,-13520.653126819223,-39069.0476601565,13137.63491199122,3493.324059744018,-19860.979209631314,29279.045964622048,135200.69225926197,121156.71169116195,148948.95267895717,-2.888752480704592,False,False
6.62679700366597,0.001,z,z,z,12451.355329776507,-38310.47284386818,61075.90524702509,12524.26150442618,-100238.61560059778,124172.87072731447,9906.74369584528,-109063.61889198581,118720.97302341372,590277.8513092895,523866.06372632954,662627.4196705505,-0.6692315896338461,True,False
6.62679700366597,0.003,x,x,x,-18497.667742662787,-66750.55848902478,32070.57554752626,9910.477840651398,-2233.7702313204304,21773.762420307987,-3580.0993759727908,-14956.050716014639,7826.949379888023,61290.66175250265,54315.15549033848,68681.71218872016,0.3466563041423148,True,False
6.62679700366597,0.003,x,x,y,2310.991328384421,-7892.370756101932,12536.378018601876,516.5831977071772,-1811.837134913478,2868.0571643808275,-859.3973788075141,-3336.6052891826344,1704.7795073257441,12035.063470005427,10317.266717429537,13949.97066368197,1.0295688798867577,True,False
6.62679700366597,0.003,x,x,z,6375.952993607057,-2488.049483207402,15326.258222047953,92.02467700776472,-2469.3148744843747,2532.741171118746,-1596.654891255013,-4067.7138003463097,744.7169977613058,12817.58893772936,11294.321674381403,14307.351366015453,1.5132240979938263,True,False
6.62679700366597,0.003,x,y,x,2310.991328384421,-7955.824308151277,12974.364706797933,516.5831977071772,-1951.791500307057,2755.844359149329,-859.3973788075141,-3404.2337078495552,1592.6816020809351,12035.063470005427,10203.58920720331,14051.550369862927,1.0295688798867577,False,False
6.62679700366597,0.003,x,y,y,-3845.2179841734087,-48043.52719657103,40370.65189541504,9092.654613169701,-2068.5288795491947,19985.518384648825,-4303.6544467620115,-14861.299272992534,5972.046724535712,58109.0451036898,52514.03005862478,63950.590378942485,0.4420694519999809,True,False
6.62679700366597,0.003,x,y,z,-4732.541983402021,-14595.801901698964,5044.250101529766,-1005.4742955330078,-3426.5335520004787,1607.500619938512,-1960.1790080537537,-4598.503444020944,701.2407105950084,12941.10820386897,11247.711576095606,14756.516615209133,2.04475037380675,True,False
6.62679700366597,0.003,x,z,x,6375.952993607057,-2246.1056346923265,15254.723541557812,92.02467700776472,-2413.5995033303147,2681.982194594745,-1596.654891255013,-3943.3053168122888,877.5495645665274,12817.58893772936,11367.460024817748,14373.65769851334,1.5132240979938263,False,False
6.62679700366597,0.003,x,z,y,-4732.541983402021,-14150.33701200797,4529.055704391697,-1005.4742955330078,-3390.5743580700682,1473.5103519711715,-1960.1790080537537,-4660.7190742735265,676.9334999199971,12941.10820386897,11220.401723915746,14791.53747015142,2.04475037380675,False,False
6.62679700366597,0.003,x,z,z,-79.9216023009376,-47136.21689569654,47004.3383809684,6114.2549188829535,-6190.29894879088,18088.08343958819,5452.453960497858,-6321.890341721185,16487.701636340673,62250.84338896177,54660.244152617335,69749.49562904118,-0.7282444641593798,True,False
6.62679700366597,0.003,y,x,x,-18675.537746143546,-65531.20539589607,29574.52489393054,4810.991957633533,-17340.561162548773,26537.839066947174,-16679.813293878793,-32871.76551567264,-701.9365126307641,101285.28295184526,89479.55740666356,114035.09155176418,1.28998586901518,True,True
6.62679700366597,0.003,y,x,y,2397.5512071603544,-7911.521340287826,12593.959118562832,-449.87278938836903,-4851.355036121275,4074.401921952949,-1561.1430218372398,-5295.75114853688,2124.309879620324,20101.77732646332,17162.92952830849,23346.617172674753,1.851363825707932,True,False
6.62679700366597,0.003,y,x,z,6443.871740127266,-1995.251103383552,15450.348139325331,-1888.7205316292352,-6146.760181848363,2411.4764523940776,-1732.002770803706,-5588.510288182228,2161.869916237766,21262.946893095155,18682.800448801343,23787.061159982477,2.399451041205767,True,False
6.62679700366597,0.003,y,y,x,2397.5512071603544,-7837.555198256493,12598.205775369204,-449.87278938836903,-4822.43146682827,4111.256767471677,-1561.1430218372398,-5328.448319472116,2293.41750143195,20101.77732646332,17137.58505421488,23268.393095784682,1.851363825707932,False,False
6.62679700366597,0.003,y,y,y,-3844.449460764001,-46190.094588181135,37480.96099974172,3390.2462391365952,-14157.642932166664,21913.40666995624,-16355.361840427278,-34176.65627439522,1683.146995691342,96480.06812955023,87339.43169956104,106285.87542536006,1.3664044039767904,True,False
6.62679700366597,0.003,y,y,z,-4688.871957536327,-14756.677898307029,4933.691972679967,-3516.3697457667527,-7600.160215527944,832.2586458764181,-636.2738321529907,-4840.870289874646,3702.358092391645,21456.923688990915,18477.774886952517,24442.61772517778,2.962583337086704,True,False
6.62679700366597,0.003,y,z,x,6443.871740127266,-2036.9854928068055,14907.49465705593,-1888.7205316292352,-6133.9140594218325,2445.3415889861353,-1732.002770803706,-5677.891786492952,2159.6158593711984,21262.946893095155,18783.78379105221,23846.385342065038,2.399451041205767,False,False
6.62679700366597,0.003,y,z,y,-4688.871957536327,-14158.594705184563,4526.278741879838,-3516.3697457667527,-7810.130933368587,700.3896833726102,-636.2738321529907,-4839.537650317627,3650.1999850544175,21456.923688990915,18480.215885652084,24533.200773713128,2.962583337086704,False,False
6.62679700366597,0.003,y,z,z,-105.3478291883639,-43505.93122984897,45077.88757989789,13289.999213294204,-7411.441421560724,32696.845643437777,-2646.4010197082043,-21567.041365469922,16062.064798387919,102542.44174629527,89677.20644068097,115558.09728453853,0.19655623821256504,True,False
